,Tweet Text,Tweet Coordinates,Place Info,Date
0,"RT @send_offer: An event for parents/carers. Learn about:
🔹The range of advice and support services and organisations available in Norfolk…",,,13/11/2021 22:14
1,Secrets just for downline building which could develop your home based business drastically https://t.co/nGK5fGIj5D… https://t.co/kckBQsRmXY,,,13/11/2021 22:01
2,RT @Lean4Lifetime: Secrets just for downline building which could develop your home based business drastically https://t.co/awdbE8uPIt #Wel…,,,13/11/2021 20:58
3,RT @Lean4Lifetime: Secrets just for downline building which could develop your home based business drastically https://t.co/awdbE8uPIt #Wel…,,,13/11/2021 20:52
4,Secrets just for downline building which could develop your home based business drastically https://t.co/awdbE8uPIt… https://t.co/phhQ4ygiaB,,,13/11/2021 20:51
5,@avibarzeev His argument that you can’t separate money from states fails to see the possibility that we’ll ALSO nee… https://t.co/QlHxb3t0dF,,,13/11/2021 20:21
6,"RT @send_offer: An event for parents/carers. Learn about:
🔹The range of advice and support services and organisations available in Norfolk…",,,13/11/2021 19:58
7,"RT @onegirlorg: Happy #DayOfTheGirl2021!This year's theme is ""Digital Generation. Our Generation"" – closing the gender digital divide. Take…",,,13/11/2021 19:57
8,"RT @send_offer: An event for parents/carers. Learn about:
🔹The range of advice and support services and organisations available in Norfolk…",,,13/11/2021 19:43
9,"RT @send_offer: An event for parents/carers. Learn about:
🔹The range of advice and support services and organisations available in Norfolk…",,,13/11/2021 19:25
10,"An event for parents/carers. Learn about:
🔹The range of advice and support services and organisations available in… https://t.co/JB8Fiy9RCn",,,13/11/2021 19:00
11,"Just began using the ""Digital Wellbeing "" feature on my phone to help w/ my Twitter ""addiction"". It has been helpfu… https://t.co/8WcyQu1Tbw",,,13/11/2021 16:37
12,"RT @TG2Chat: ""As a white educator, I myself have to continually examine my own beliefs and privileges, working to decenter them for the wel…",,,13/11/2021 15:17
13,Secrets just for downline building which could develop your home based business drastically https://t.co/sRnolZ8W4C… https://t.co/svAtw9zaTq,,,13/11/2021 15:13
14,"Superb to be back meeting our independent school customers, introducing our digital and printed pupil wellbeing ser… https://t.co/YEVWuwZNEJ",,,13/11/2021 15:02
15,"""As a white educator, I myself have to continually examine my own beliefs and privileges, working to decenter them… https://t.co/lBqOOUZ75P",,,13/11/2021 14:22
16,RT @heatsloan: Case study examples of how people professionals can leverage technology to improve worker wellbeing https://t.co/uM7LaRV2Ze,,,13/11/2021 14:19
