,Tweet Text,Tweet Coordinates,Place Info,Date
0,#Veterans struggling to find #Employment given free training to build new #Technology careers… https://t.co/G0d86FyDdP,,,14/11/2021 22:02
1,Mull over utilising incentives to produce sincere sales opportunities by using this strategy shown here on… https://t.co/kscyxCbnGC,,,14/11/2021 21:25
2,"RT @send_offer: An event for parents/carers. Learn about:
🔹The range of advice and support services and organisations available in Norfolk…",,,14/11/2021 21:21
3,"Law firms put adaptability on display 
https://t.co/tz6PKkYLDM
#Australia #Australian #Bank #Business #CBA… https://t.co/pFjigrFACz",,,14/11/2021 20:32
4,"RT @TLCUK: 📣ANNOUNCEMENT! 

We're thrilled to launch WRITE CLUB PLUS, a 12 month facilitated digital programme that provides accountability…",,,14/11/2021 18:10
5,"Beyond Blue continues to support people through #Pandemic as new #Survey shows ... 
https://t.co/xWTNyhxLCZ… https://t.co/JgRiPiVq9v",,,14/11/2021 18:04
6,How can we all recalibrate our relationships with tech? Some HX inspiration from teens &amp; @HeadstreamInno @mizuko… https://t.co/McVvRvIvkl,,,14/11/2021 15:40
7,"Today is World Diabetes day; Did you know the first successful injection of insulin was given 99 years, 9 months, 2… https://t.co/UsXQiVXYRb",,,14/11/2021 10:45
8,Take this short fantastic article instantly before it all goes away because doing so may well change the way you cr… https://t.co/XlqyvOZT1P,,,14/11/2021 07:06
9,"RT @iact_training: i-act (for positive #mentalhealth and #wellbeing) training comes with a 168-page i-act course manual, toolkit &amp; resource…",,,14/11/2021 06:26
10,"i-act (for positive #mentalhealth and #wellbeing) training comes with a 168-page i-act course manual, toolkit &amp; res… https://t.co/hItujMnFgg",,,14/11/2021 06:25
11,@star_varshi Digital Wellbeing la check pannu 😂 therinjirum,,,14/11/2021 05:26
12,RT @Timothy_Hughes: How to deal with depression in sales (via Passle) by @Timothy_Hughes https://t.co/5ScLFJubP9 @DLAIgnite #socialselling…,,,14/11/2021 03:15
13,Take this short fantastic article instantly before it all goes away because doing so may well change the way you cr… https://t.co/DYRTI0cr1a,,,14/11/2021 03:13
14,How to deal with depression in sales (via Passle) by @Timothy_Hughes https://t.co/5ScLFJubP9 @DLAIgnite… https://t.co/ZC4NlVs3ON,,,14/11/2021 03:13
15,Take this short fantastic article instantly before it all goes away because doing so may well change the way you cr… https://t.co/5a7e7f0RvF,,,14/11/2021 02:35
16,I took a sabbatical from Facebook because digital wellbeing told me I opened that blue app 125 times for a total of… https://t.co/F9Jl9K9bB1,,,14/11/2021 01:21
17,Take this short fantastic article instantly before it all goes away because doing so may well change the way you cr… https://t.co/Hjxm4SpCbq,,,14/11/2021 01:18
18,LMAO i just searched for something depressed on google and there was a notif that appeared briefly on my phone that… https://t.co/ai9BFtdyrn,,,14/11/2021 00:07
19,"RT @ASEmentoring: Do you live in South Fulham, Sullivan Court, Townmead, Sands End Area? Parents &amp; Carers have created a warm, welcoming sp…",,,14/11/2021 23:59
20,"RT @AngieCraigMN: We’ve legalized recreational cannabis use in nearly a third of the country, but the VA won’t agree to simply study the po…",,,14/11/2021 23:58
21,"RT @AngieCraigMN: We’ve legalized recreational cannabis use in nearly a third of the country, but the VA won’t agree to simply study the po…",,,14/11/2021 23:58
22,"Hands, Fingers and Parkinson's Disease https://t.co/TE2I21LzEC #wellbeing",,,14/11/2021 23:58
23,RT @MonashMSDI: MSDI is excited to partner with the new @Neuromedicines Discovery Centre to look at how behaviour and policy change can hel…,,,14/11/2021 23:57
24,"Colleen had defeated bows and arrows that were snapped, when facelessness came. She advocated for a friend so to wellbeing.",,,14/11/2021 23:57
25,@5d_guru Ok but i want my land and resources back….my wellbeing finna improve exponentially lol,,,14/11/2021 23:57
26,I will write about the secret options to make back ones wellbeing very fast https://t.co/slFM7xgQqg,,,14/11/2021 23:57
27,🙏🏾Join the 31 companies who have completed our Driving Health Allocator Training program so far. Thank you for help… https://t.co/CnQsGDHCir,,,14/11/2021 23:57
28,"RT @AngieCraigMN: We’ve legalized recreational cannabis use in nearly a third of the country, but the VA won’t agree to simply study the po…",,,14/11/2021 23:57
29,"RT @XiaowenLiang17: Source unverified, at China's National Tennis Center, Peng Shuai's portrait was removed, less than a week from her expo…",,,14/11/2021 23:56
30,RT @patricksamy: I will be on a very exciting panel about artificial intelligence and coaching this week: https://t.co/KRoGN5UXdB,,,14/11/2021 23:56
31,"RT @EmergingMindsAU: Children thrive when their parents are supported. While most fathers do well and are supported, those with poor mental…",,,14/11/2021 23:56
32,"RT @AngieCraigMN: We’ve legalized recreational cannabis use in nearly a third of the country, but the VA won’t agree to simply study the po…",,,14/11/2021 23:56
33,@jabel73019682 I always suggest keeping outside projects. If not for sustainability... also for wellbeing. Let well… https://t.co/F8xnnYtRLh,,,14/11/2021 23:55
34,MSDI is excited to partner with the new @Neuromedicines Discovery Centre to look at how behaviour and policy change… https://t.co/876iRWApdY,,,14/11/2021 23:55
35,"RT @Annmariechild: One of my latest international articles: Identity, Wellbeing, and Safeguarding Our Children is Key | The International E…",,,14/11/2021 23:55
36,"RT @HilaryJHendel: Connect to your core emotions. They are the doorway to the openhearted state of your authentic self.
#ThinkBIGSundayWith…",,,14/11/2021 23:55
37,"@sheabutterbelle EXACTLYYYY. 
But fuck the money. Our wellbeing comes first!",,,14/11/2021 23:55
38,Odd Socks Day for Anti Bullying Week is on Wednesday in our School - make them fabulous and make them odd… https://t.co/R4TvuFOACj,,,14/11/2021 23:55
39,"@strawbunnycakes i understand how it is, and no matter when it happens i will b delighted when u finish my commissi… https://t.co/8BQ5YOBH3m",,,14/11/2021 23:55
40,@BBCCiN @SAFA_Cumbria @BBCiPlayer 1/2 Joined up approaches are key. The therapist from @SAFA_Cumbria has highlighte… https://t.co/Kxtl3ZQ9cL,,,14/11/2021 23:54
41,RT @now_arsenaI: Granit Xhaka &amp; Ben White attended Expo 2020 in Dubai over the weekend. Along with a tour of the Emirates Pavilion and a vi…,,,14/11/2021 23:54
42,"RT @napwha: HIV activist &amp; lawyer @paulkidd is co-author to an  article demonstrating from #HIVFutures data, the negative impact &amp; anxiety…",,,14/11/2021 23:54
43,#CannabisLegislation is about to be #revolutionalized #FreeTheWeed We as #humanity must learn that #cannabis has ma… https://t.co/T4EriMgUTJ,,,14/11/2021 23:54
44,RT @teachwellall: We support headteachers to build a culture of staff wellbeing and mental health at a time of unprecedented pressure. We d…,,,14/11/2021 23:54
45,"@RadioRayRTE @Tweetinggoddess @smldublin COMPETITION TIME! Win 2 Tix to my gig this Wed 17th,8pm the famous Windmil… https://t.co/Rzhb3M19g8",,,14/11/2021 23:53
46,RT @_Rainbow_Fish: Thanks @ROHNHSFT for giving me my winter BOOSTer! Great to have a workplace supporting staff wellbeing!! #covidbooster h…,,,14/11/2021 23:53
47,"Don’t walk through life stifling your authenticity, suppressing your uniqueness, hiding your truth out of fear of w… https://t.co/KDb0i1ziqk",,,14/11/2021 23:52
48,"RT @NeuroscienceNew: Researchers report metacognition therapies, or directing personal thoughts and emotions for the benefit of mental well…",,,14/11/2021 23:52
49,I have never wilfully endangered the lives and wellbeing of thousands of people,,,14/11/2021 23:51
50,"RT @fairy_godslut: This is so worrying bc yes, this protest seems to have been organised/attended mainly by antivaxers &amp; covid conspiracist…",,,14/11/2021 23:51
51,RT @squeezyjohn: They say no man is an island ... but it's incredible seeing just how many people sleepwalk through life not realising just…,,,14/11/2021 23:50
52,@PepperOceanna The wellbeing of indigenous Australians.,,,14/11/2021 23:50
53,Oulu's Emotional wellbeing rating: 56.4 % (average OR keskinkertainen),,,14/11/2021 23:50
54,"RT @Unbeelievable: WIN natural supplements for anxiety &amp; sleep to help us celebrate 2 new awards for Bee calm &amp; Bee rested.

TO ENTER- just…",,,14/11/2021 23:48
55,"Free your passion ✨🙏🏾❤️✨ 

Follow me for more…
#motivation #wellbeing #mentalhealth #positivity #positivethinking… https://t.co/sfh3ANDBzL",,,14/11/2021 23:48
56,@DrKGregorevic We should be spending on health &amp; wellbeing not increased policing https://t.co/sGgvf9Fd1l,,,14/11/2021 23:47
57,RT @Johnsonillian: On no occasion in living memory has our future wellbeing hinged so fulsomely on Brexit,,,14/11/2021 23:47
58,"Cutting carbs brings a lot of health risks...well carbs from Whole Plant Foods, that is. Cut the PROCESSED carbs...… https://t.co/j8ADd83miT",,,14/11/2021 23:47
59,"HIV activist &amp; lawyer @paulkidd is co-author to an  article demonstrating from #HIVFutures data, the negative impac… https://t.co/FNAEf3mF0G",,,14/11/2021 23:47
60,On no occasion in living memory has our future wellbeing hinged so fulsomely on Brexit,,,14/11/2021 23:46
61,"RT @GreenLibDems: Is this blatant sexism and a means of bullying?

@bankofengland ignores data that shows productivity rises in remote pres…",,,14/11/2021 23:45
62,Just One Kind Word - try saying it this week during Anti-Bullying 2021 @ABAonline @GetAntiBullying Our Assemblies t… https://t.co/yXvMnjbtc4,,,14/11/2021 23:45
63,@EduKitters Am launching it at my workplace very soon and am beyond excited about the intrinsic role it will play i… https://t.co/HZNDLoOBuf,,,14/11/2021 23:45
64,What does selfcare mean to you? #Mindset #Happiness #JoyceQuote #Wellbeing https://t.co/szDMiwCF0g,,,14/11/2021 23:45
65,"RT @whskr: Probiotics for Cats, Do They Work? My report on what probiotics are and how they can help your cat is a good read! #motivationmo…",,,14/11/2021 23:45
66,RT @letitraindown_: I know people are out here saying not to give any more attention to N0 hun but as an older Mixer I feel like it’s my pe…,,,14/11/2021 23:44
67,"Learn more about your local area through Co-op's Community Wellbeing Index. By entering a postcode, you can view th… https://t.co/A83HvLheKG",,,14/11/2021 23:43
68,@EduKitters Am launching it at my workplace very soon and am beyond excited about the intrinsic role it will play i… https://t.co/1XGvy4IgjB,,,14/11/2021 23:43
69,RT @jerkplatesides: Shae car has been TOTALED and it’s literally the only way she can get to work without totally exhausting her wellbeing…,,,14/11/2021 23:43
70,"Hello everyone! SOCIAL MEDIA does not have to be detrimental to our mental health. After all, WE CHOOSE what WE SEE… https://t.co/jmPTTUADNb",,,14/11/2021 23:43
71,"@exitentrygrad @NFitzPsychology @muirtheimhne COMPETITION TIME! Win 2 Tix to my gig this Wed 17th,8pm the famous Wi… https://t.co/jNpYwUch0i",,,14/11/2021 23:40
72,Apparently my wife and I were on TV during the #Browns game. We were genuinely concerned about the wellbeing of one… https://t.co/8uZzYkX9Q6,,,14/11/2021 23:40
73,Constantly being around negative people is really bad for your health and wellbeing.,,,14/11/2021 23:39
74,"Researchers report metacognition therapies, or directing personal thoughts and emotions for the benefit of mental w… https://t.co/i7hliMCCon",,,14/11/2021 23:39
75,"RT @GreenLibDems: Is this blatant sexism and a means of bullying?

@bankofengland ignores data that shows productivity rises in remote pres…",,,14/11/2021 23:39
76,"It's not easy. And the solutions won't be easy, either. But it certainly helps to trust that employers, clients, pe… https://t.co/1Vbp7tkllx",,,14/11/2021 23:38
